Nom;Departement;Latitude;Longitude;Type
Carrefour Saiunt Serge;Maine et Loire;47.489195;0.542266;Centre commercial
Carrefour Grand Maine;Maine et Loire;47.468261;0.595267;Centre commercial
Super U Cœur de Ville;Maine et Loire;47.467626;0.494677;Centre commercial
Intermarché;Maine et Loire;47.455585;0.535074;Centre commercial
Carrefour city;Maine et Loire;47.473652;0.566641;Supermarché
Carrefour city;Maine et Loire;47.460003;0.537143;Supermarché
Spar;Maine et Loire;47.482898;0.526550;Supermarché
Carrefour express;Maine et Loire;47.451315;0.548814;Supermarché
Carrefour express;Maine et Loire;47.464465;0.556290;Supermarché
Super U et Drive;Maine et Loire;47.484241;0.511324;Centre commercial
Leclerc;Maine et Loire;47.482067;0.574631;Centre commercial
Géant;Maine et Loire;47.467033;0.522223;Centre commercial
Lidl;Maine et Loire;47.486794;0.514295;Centre commercial
